|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 40: 19610817		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 40: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 40: 174943		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 41: 19610819		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 41: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 41: 050949		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 42: 19610820		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 42: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 42: 091011		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 43: 19610828		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 43: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 43: 062819		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 44: 19610828		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 44: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 44: 212716		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 45: 19610830		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 45: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 45: 034528		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 46: 19610831		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 46: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 46: 014839		|
