"ID","FECHA_UTC","HORA_UTC","LATITUD","LONGITUD","PROFUNDIDAD","MAGNITUD","FECHA_CORTE"
"312","19650713","175802","-13.2","-75.1","102","4.5","20223006"
"313","19650713","223449","-3.2","-77.7","90","4.9","20223006"
"314","19650714","122957","-17.65","-69.42","141","5.3","20223006"
"315","19650715","083124","-6.6","-80.9","36","4.9","20223006"
"316","19650723","151324","-8.868","-79.43","48","5.5","20223006"
"317","19650724","121608","-3.5","-78.1","33","4.7","20223006"
"318","19650728","194247","-15.7","-73.9","92","4.6","20223006"
"319","19650730","054518","-18.139","-70.823","74","5.6","20223006"
"320","19650730","121107","-15.1","-70.8","192","4.6","20223006"
"321","19650801","043641","-4.88","-80.9","66","4.5","20223006"
"322","19650801","061359","-16.7","-71.4","97","4.6","20223006"
"323","19650803","020153","-7.429","-81.365","27","6","20223006"
"324","19650807","052607","-9.2","-78.7","70","4.9","20223006"
"325","19650813","005445","-4.34","-81.08","38","5.6","20223006"
"326","19650822","122425","-7.86","-74.57","146","4.9","20223006"
"327","19650823","000811","-13.1","-75.2","107","4.7","20223006"
"328","19650825","145037","-17.599","-69.771","143","5.2","20223006"
"329","19650906","162553","-9.3","-75.9","31","4.9","20223006"
"330","19650908","041034","-11.1","-73.8","99","4.8","20223006"
"331","19650911","181754","-11.4","-75.3","33","4.6","20223006"
"332","19650914","045024","-12.09","-72.57","72","4.8","20223006"
"333","19650914","071758","-9.89","-76.1","142","5.2","20223006"
"334","19650916","085723","-17.2","-70.7","141","4.8","20223006"
"335","19650919","141749","-16.33","-74.916","30","5","20223006"
"336","19650920","063742","-17.3","-70.5","127","4.9","20223006"
"337","19650920","181041","-6.43","-74.93","138","5.3","20223006"
"338","19650924","094041","-9.44","-79.14","37","4.8","20223006"
"339","19650926","054756","-13","-70.3","37","4.8","20223006"
"340","19651004","212512","-10.9","-75","33","4.7","20223006"
"341","19651006","024023","-9.8","-74.9","122","4.9","20223006"
"342","19651008","222850","-8.263","-75.895","140","5.3","20223006"
"343","19651010","193500","-7.7","-74.6","140","4.8","20223006"
"344","19651011","000704","-3.6","-77.35","146","4.5","20223006"
"345","19651017","140905","-16.1","-73.5","106","4.9","20223006"
"346","19651019","020254","-8.5","-74.4","112","4.7","20223006"
"347","19651103","013904","-9.121","-71.303","592","6.1","20223006"
"348","19651106","010605","-9.299","-79.099","20","4.9","20223006"
"349","19651110","014722","-17.89","-69.52","143","4.8","20223006"
"350","19651121","042923","-11.3","-73.5","80","4.7","20223006"
"351","19651123","102100","-18.1","-70.7","93","4.9","20223006"
"352","19651124","093056","-9.5","-74.8","125","4.9","20223006"
"353","19651126","002549","-4.7","-77.14","123","4.9","20223006"
"354","19651129","170703","-6.075","-78.714","28","5.6","20223006"
"355","19651129","175355","-6.8","-80.1","33","4.6","20223006"
"356","19651130","094440","-18.427","-71.292","26","4.9","20223006"
"357","19651130","094613","-8.34","-74.15","179","5.3","20223006"
"358","19651202","003631","-16.471","-69.594","192","5.3","20223006"
"359","19651203","083227","-3.525","-77.881","30","5.1","20223006"
"360","19651203","095549","-4.5","-79.9","89","4.9","20223006"
"361","19651207","034441","-3.5","-78.2","42","4.9","20223006"
"362","19651208","025538","-15.5","-74.7","79","4.8","20223006"
"363","19651210","025916","-6.483","-81.163","10","4.9","20223006"
"364","19651211","214829","-6.4","-81.3","33","4.7","20223006"
"365","19651214","045519","-18.347","-70.957","71","4.9","20223006"
"366","19651219","201025","-14.855","-73.509","94","5.3","20223006"
"367","19651228","220454","-3.191","-77.159","19","5.7","20223006"
"368","19651229","040829","-3.24","-77.158","51","5","20223006"
"369","19651230","061604","-16.691","-71.154","104","6.2","20223006"
"370","19660101","195156","-7.91","-74.4","167","5","20223006"
"371","19660104","124814","-15.311","-70.831","178","5.4","20223006"
"372","19660109","201654","-10.85","-75.71","33","4.9","20223006"
"373","19660112","080209","-2.311","-77.044","156","5","20223006"
"374","19660113","141710","-8.338","-74.043","160","5.1","20223006"
"375","19660117","065705","-11.6","-75.93","104","4.8","20223006"
"376","19660118","102558","-3.52","-80.91","56","4.9","20223006"
"377","19660119","044431","-17.856","-71.354","54","5.3","20223006"
"378","19660120","071406","-14.833","-75.652","40","5","20223006"
"379","19660122","140541","-10.34","-74.7","95","4.7","20223006"
"380","19660128","212524","-3.6","-81.2","33","4.9","20223006"
"381","19660207","084123","-15","-73.9","73","5.3","20223006"
"382","19660209","035505","-16.74","-72.5","76","4.9","20223006"
"383","19660209","151330","-15.395","-75.349","40","5.8","20223006"
"384","19660210","104336","-16.584","-73.732","40","5","20223006"
"385","19660214","163445","-13.38","-75.521","101","4.9","20223006"
"386","19660220","152544","-9.844","-75.56","39","5.2","20223006"
"387","19660223","181022","-15.36","-72.69","123","5.3","20223006"
"388","19660226","153718","-3.48","-77.6","33","4.6","20223006"
"389","19660227","055841","-15.3","-75.9","22","4.9","20223006"
"390","19660227","060836","-15.4","-76","13","4.6","20223006"
"391","19660312","180653","-14.4","-73.9","85","4.6","20223006"
"392","19660323","215712","-7.382","-74.873","140","5.3","20223006"
"393","19660324","141730","-10.2","-79.1","48","4.9","20223006"
"394","19660328","152923","-3.979","-80.85","43","5.6","20223006"
"395","19660328","174247","-3.986","-80.773","32","5.6","20223006"
"396","19660328","182017","-3.9","-80.4","72","4.6","20223006"
"397","19660328","185621","-3.682","-80.582","26","4.7","20223006"
"398","19660328","202934","-4.164","-81.001","30","4.9","20223006"
"399","19660403","091728","-10.47","-79.6","42","5","20223006"
"400","19660406","122448","-3.75","-81.78","5","4.6","20223006"
"401","19660412","013107","-17.68","-69.64","141","4.7","20223006"
"402","19660427","135355","-17.66","-70.71","60","4.9","20223006"
"403","19660501","080424","-6.69","-75.76","48","4.9","20223006"
"404","19660501","162257","-8.438","-74.222","158","6.8","20223006"
"405","19660502","105550","-8.377","-74.178","159","5.1","20223006"
"406","19660502","212851","-17.06","-69.63","181","4.6","20223006"
"407","19660502","213404","-16.8","-69.5","152","4.8","20223006"
"408","19660507","064840","-5.21","-76.1","101","4.8","20223006"
"409","19660511","000132","-7.12","-74.46","152","4.5","20223006"
"410","19660513","013520","-15.43","-70.83","214","4.8","20223006"
"411","19660519","173724","-17.69","-71.5","72","4.8","20223006"
"412","19660521","074421","-8.107","-74.387","156","4.9","20223006"
"413","19660525","162957","-17.7","-70.6","73","4.7","20223006"
"414","19660525","232127","-9.48","-77.07","161","4.7","20223006"
"415","19660526","005323","-17.16","-73.07","38","4.6","20223006"
"416","19660531","085022","-8.651","-74.41","170","5.1","20223006"
"417","19660601","181830","-16.56","-73.52","83","4.8","20223006"
"418","19660602","170541","-15.712","-71.799","137","5","20223006"
"419","19660602","174946","-14.4","-76","43","4.7","20223006"
"420","19660604","100431","-16.1","-74.9","8","4.7","20223006"
"421","19660604","144804","-16.1","-74.7","10","4.7","20223006"
"422","19660605","005301","-6.3","-81.5","33","4.8","20223006"
"423","19660605","041733","-17.28","-70.63","126","4.7","20223006"
"424","19660605","190310","-9.8","-71","590","5","20223006"
"425","19660607","005945","-14.895","-75.891","21","6.4","20223006"
"426","19660607","012011","-14.86","-76","76","4.9","20223006"
"427","19660607","015623","-12.3","-74.3","27","4.5","20223006"
"428","19660607","032418","-15.107","-75.905","28","5.3","20223006"
"429","19660607","151443","-15.19","-75.91","48","5.3","20223006"
"430","19660608","145653","-15.43","-76.106","20","5","20223006"
"431","19660610","081328","-14.879","-76.22","22","5.3","20223006"
"432","19660610","141343","-14.93","-76.4","28","4.9","20223006"
"433","19660611","110413","-14.7","-76.1","49","4.9","20223006"
"434","19660618","054317","-15.1","-75.2","97","4.5","20223006"
"435","19660619","154049","-14.919","-75.864","28","5.5","20223006"
"436","19660620","003019","-15","-76","59","4.7","20223006"
"437","19660620","110149","-16.9","-72.3","40","4.8","20223006"
"438","19660621","125123","-4.23","-77","101","4.9","20223006"
"439","19660623","002018","-17.19","-70.19","151","4.7","20223006"
"440","19660630","104954","-6.74","-76.8","29","5.2","20223006"
"441","19660705","235019","-15.632","-75.878","21","5","20223006"
"442","19660706","000556","-15.617","-75.652","27","5.3","20223006"
